                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.373,                  3.523,                 5.1251,                 1.9975,                0.11987,                0.18421,                0.07295,                0.03192,                   0.04,                0.01316,                0.00156,                 0.0003,                 1.6904,                 1.8185,                 2.7064,                 1.7078,               0.067733,             0.00032593,             0.00032593
                      1,                 1.6146,                 1.8472,                 2.3049,                 1.4961,                0.66043,                0.65789,                0.62151,                0.47264,                0.42066,                0.31529,                0.18732,                0.04674,                0.81213,                0.99941,                 1.4622,                 1.1063,               0.034733,             0.00065922,             0.00065922
                      2,                 1.2711,                 1.4032,                 1.4844,                  1.243,                0.64035,                0.68421,                0.72469,                0.56771,                0.53198,                0.43421,                0.35606,                0.11561,                0.81783,                0.80877,                0.98116,                 1.0643,              0.0017331,             0.00099235,             0.00099235
                      3,                 1.0756,                 1.1614,                 1.1665,                 1.1409,                 0.6517,                0.73861,                0.68204,                0.52293,                0.53191,                0.53947,                0.46296,                0.14916,                0.68602,                0.67955,                0.84971,                0.97925,             0.00099945,             0.00099945,             0.00099945
                      4,                 1.0095,                 1.0633,                  1.016,                 1.0816,                0.70799,                 0.7976,                0.79707,                0.65694,                0.78119,                0.56579,                0.63461,                0.23482,                0.61568,                0.60831,                0.72666,                0.91524,             0.00099945,             0.00099945,             0.00099945
                      5,                 0.9757,                0.98036,                0.95466,                 1.0514,                0.84744,                0.73092,                0.84552,                0.71394,                0.92181,                0.67105,                0.75987,                0.30432,                0.61169,                 0.5553,                0.62215,                0.92394,             0.00099902,             0.00099902,             0.00099902
                      6,                 0.9003,                0.91079,                0.89047,                 1.0059,                0.87549,                0.73684,                0.86355,                0.73195,                0.89181,                0.69737,                0.76745,                0.35078,                0.57389,                0.49799,                0.57536,                0.90249,             0.00099847,             0.00099847,             0.00099847
                      7,                0.88381,                0.83106,                0.86523,                0.99906,                0.80133,                0.84919,                0.87224,                0.74811,                 0.8817,                0.68653,                0.77637,                0.35773,                0.55532,                0.48573,                0.58635,                0.89182,              0.0009978,              0.0009978,              0.0009978
                      8,                0.86566,                0.88723,                0.84647,                0.99175,                0.84486,                0.84211,                 0.8747,                0.75091,                 0.8189,                0.77348,                0.80087,                0.40295,                0.56049,                 0.4658,                0.56648,                0.87472,             0.00099701,             0.00099701,             0.00099701
                      9,                0.82644,                 0.8418,                0.80832,                0.97027,                0.87679,                0.78947,                0.88029,                0.74781,                0.83344,                0.72425,                0.80126,                0.39168,                0.60157,                0.45349,                0.53803,                0.86463,              0.0009961,              0.0009961,              0.0009961
                     10,                0.79523,                0.77413,                0.74313,                0.95407,                0.87266,                0.81158,                0.88023,                0.76449,                0.83028,                0.77246,                 0.8281,                0.41494,                0.54083,                 0.4339,                0.51826,                0.84219,             0.00099506,             0.00099506,             0.00099506
