                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0098,                  3.355,                 3.5088,                 1.7432,                0.00757,                0.94737,                0.57571,                0.38301,                0.00252,                0.31579,                0.06672,                0.01396,                 1.0493,                0.98776,                 2.6164,                0.93961,                 0.0802,                 0.0022,                 0.0022
                      1,                 1.2945,                 1.3308,                 2.1402,                 1.1294,                0.69653,                0.67105,                0.68244,                0.42066,                0.40626,                0.34211,                0.23401,                0.04833,                0.85369,                 0.8226,                 1.8942,                0.86335,               0.059499,              0.0044989,              0.0044989
                      2,                 1.1563,                 1.2555,                  1.526,                 1.0612,                 0.5785,                0.39474,                0.54573,                0.34038,                0.44642,                0.30263,                0.31942,                0.10774,                 1.1451,                0.73362,                 2.0634,                 1.0201,               0.038793,              0.0067934,              0.0067934
                      3,                 1.2084,                 1.1436,                 1.5013,                 1.0805,                0.76184,                0.67347,                0.76422,                0.58764,                  0.464,                0.38733,                0.36802,                0.09065,                 0.8978,                0.74925,                 1.5084,                0.81967,                0.01808,                0.00908,                0.00908
                      4,                  1.247,                 1.1309,                 1.4424,                 1.0847,                 0.7393,                0.70896,                0.72403,                0.50597,                 0.6473,                0.55263,                0.55303,                0.19268,                0.96661,                0.72002,                 1.3572,                0.91999,               0.009961,               0.009961,               0.009961
                      5,                 1.1902,                 1.1203,                 1.4247,                 1.0641,                0.71667,                0.68421,                0.71024,                0.48249,                0.76747,                0.52632,                0.54909,                0.20338,                 1.1285,                0.69363,                 1.2009,                0.97745,               0.009961,               0.009961,               0.009961
                      6,                 1.1197,                0.95661,                 1.3091,                 1.0466,                0.68116,                0.78711,                0.76486,                0.56935,                0.57167,                0.60526,                0.51726,                0.16327,                0.97523,                0.73579,                 1.0853,                0.94889,              0.0099391,              0.0099391,              0.0099391
                      7,                 1.0501,                0.99108,                 1.1937,                 1.0251,                0.72863,                 0.8126,                0.80259,                0.54916,                 0.6633,                0.64474,                0.64157,                 0.2342,                0.95794,                0.60857,                 1.0178,                 0.9532,              0.0099123,              0.0099123,              0.0099123
                      8,                 1.0495,                0.98226,                 1.1661,                  1.026,                0.84931,                0.68421,                0.75999,                0.59757,                 0.6978,                0.56579,                0.53091,                0.14858,                 0.8969,                0.72956,                 1.1528,                 1.0368,              0.0098808,              0.0098808,              0.0098808
                      9,                 1.0684,                0.91142,                 1.1689,                 1.0381,                0.87233,                0.80917,                0.85493,                0.59443,                 0.7268,                0.71053,                0.68544,                0.29271,                 1.0361,                0.61647,                0.86819,                 1.0175,              0.0098445,              0.0098445,              0.0098445
                     10,                0.99921,                0.92605,                 1.0877,                  1.022,                 0.8491,                0.73684,                0.84592,                 0.6643,                0.77329,                0.63158,                0.65777,                0.26179,                0.83138,                0.58422,                0.81262,                0.92061,              0.0098035,              0.0098035,              0.0098035
                     11,                0.99069,                0.87875,                 1.0509,                 1.0203,                0.85866,                0.72368,                0.86553,                0.69028,                0.85837,                0.63802,                0.72923,                  0.364,                0.72694,                0.44627,                 0.7463,                0.87697,              0.0097577,              0.0097577,              0.0097577
                     12,                0.97676,                0.93501,                0.98831,                  1.019,                0.87384,                0.82895,                0.87856,                0.68553,                0.81761,                0.77632,                0.78592,                0.34758,                0.88762,                0.48925,                0.76726,                0.98812,              0.0097074,              0.0097074,              0.0097074
                     13,                0.93934,                0.87003,                0.96126,                0.99243,                0.84819,                0.73519,                0.85179,                 0.6577,                0.77105,                0.66475,                0.71145,                0.27198,                0.82425,                0.80012,                0.76121,                0.95579,              0.0096524,              0.0096524,              0.0096524
                     14,                0.92458,                0.82179,                0.92533,                  0.986,                0.87015,                0.79363,                0.86939,                0.67337,                0.86311,                0.64474,                0.73126,                0.33497,                0.87102,                0.46192,                0.80722,                 1.0267,              0.0095929,              0.0095929,              0.0095929
                     15,                0.89129,                0.80367,                0.88378,                0.97144,                0.85988,                0.80752,                 0.8624,                0.66639,                0.80389,                0.75516,                0.77514,                0.35648,                0.87026,                0.43868,                0.74381,                 1.0143,              0.0095289,              0.0095289,              0.0095289
                     16,                0.93596,                0.82245,                0.85301,                 0.9823,                0.90741,                0.80263,                0.88084,                0.70924,                 0.8321,                0.73684,                0.74509,                0.33762,                0.72828,                0.43028,                0.75237,                0.94673,              0.0094605,              0.0094605,              0.0094605
                     17,                0.88671,                0.80997,                 0.8121,                0.98122,                0.93653,                0.78947,                0.86577,                0.70924,                0.90881,                0.72368,                0.80969,                0.36241,                0.83712,                 0.4264,                0.66041,                 1.0033,              0.0093877,              0.0093877,              0.0093877
                     18,                0.85723,                0.77321,                0.81076,                0.96762,                0.83266,                0.85118,                0.87552,                0.71251,                0.71791,                0.73684,                0.71644,                0.35787,                0.81705,                0.58056,                0.68189,                0.99137,              0.0093107,              0.0093107,              0.0093107
                     19,                0.82457,                0.77032,                0.76782,                0.96158,                 0.9521,                0.78458,                0.89197,                0.72585,                0.84552,                0.64821,                0.71758,                0.38428,                0.68292,                0.46098,                0.62364,                0.88996,              0.0092294,              0.0092294,              0.0092294
                     20,                 0.8669,                0.79485,                0.79378,                0.96031,                0.97145,                0.80263,                0.92323,                0.73904,                0.84085,                0.69737,                0.75287,                0.33291,                0.74782,                0.49858,                0.59154,                0.90836,               0.009144,               0.009144,               0.009144
                     21,                0.82242,                0.73878,                0.75357,                0.94694,                0.92545,                0.81668,                 0.8959,                0.70884,                0.85126,                0.75308,                0.78504,                0.34448,                0.76473,                0.46709,                0.66082,                0.93109,              0.0090546,              0.0090546,              0.0090546
                     22,                 0.8488,                 0.7076,                0.75442,                0.98262,                0.91197,                0.73684,                0.88031,                0.70602,                0.86601,                0.67105,                0.76861,                0.37087,                0.71977,                0.39947,                0.75161,                0.91239,              0.0089613,              0.0089613,              0.0089613
                     23,                  0.821,                0.74076,                0.73752,                0.94575,                0.79906,                 0.7849,                 0.8227,                0.66261,                0.78566,                0.77174,                0.77404,                0.36571,                0.79585,                 0.4865,                0.74545,                0.91624,               0.008864,               0.008864,               0.008864
                     24,                0.81027,                0.79864,                0.71538,                0.95031,                0.87333,                0.81648,                0.86291,                0.72593,                0.84533,                0.79105,                0.81265,                0.40872,                0.64753,                0.41741,                0.62487,                0.87085,               0.008763,               0.008763,               0.008763
                     25,                0.80727,                0.73894,                0.70174,                0.94018,                0.82023,                0.84051,                0.85676,                0.70262,                0.80045,                   0.75,                0.78887,                0.39283,                0.70911,                0.42595,                0.66132,                 0.9228,              0.0086584,              0.0086584,              0.0086584
                     26,                0.76932,                0.72845,                0.68062,                0.93586,                0.81746,                0.81579,                0.84572,                 0.6686,                0.82545,                0.72368,                0.76623,                0.38442,                0.79392,                0.38853,                0.64374,                0.92896,              0.0085502,              0.0085502,              0.0085502
                     27,                0.76524,                0.71481,                0.66349,                0.92403,                0.76896,                0.76316,                0.79394,                0.63016,                0.78136,                0.67105,                0.73177,                0.31914,                0.78133,                0.44917,                0.76629,                0.97199,              0.0084385,              0.0084385,              0.0084385
                     28,                0.78637,                0.74181,                0.67167,                0.93672,                 0.7896,                0.74075,                0.82511,                 0.6518,                0.85864,                0.63944,                 0.7673,                0.37326,                0.75098,                0.38859,                0.73939,                0.97607,              0.0083235,              0.0083235,              0.0083235
                     29,                0.73571,                0.72157,                0.63933,                0.92636,                0.80843,                0.83296,                0.85895,                0.67104,                0.75786,                0.78252,                0.77183,                0.40162,                0.77099,                0.39076,                 0.6685,                0.95519,              0.0082052,              0.0082052,              0.0082052
                     30,                0.78263,                0.74942,                0.65839,                0.93798,                0.94912,                0.81579,                0.88287,                0.72224,                 0.9178,                0.78947,                0.84204,                0.44378,                0.72566,                0.35541,                0.57974,                0.99309,              0.0080839,              0.0080839,              0.0080839
                     31,                0.74389,                0.73696,                0.62645,                0.92895,                0.97119,                0.78947,                0.88856,                0.71443,                 0.9214,                   0.75,                0.82264,                0.40715,                0.73628,                0.38741,                0.62459,                0.95537,              0.0079595,              0.0079595,              0.0079595
                     32,                0.71577,                0.74496,                0.61539,                0.91867,                0.89972,                0.82637,                0.90361,                0.75448,                0.86414,                0.78947,                0.82992,                0.42967,                0.73151,                0.43661,                0.56752,                 0.9776,              0.0078323,              0.0078323,              0.0078323
                     33,                0.71473,                0.68135,                0.59811,                0.92063,                 0.8891,                0.84394,                0.88075,                0.72523,                0.83365,                0.79131,                0.80562,                0.42949,                0.71654,                 0.3644,                0.56116,                0.91976,              0.0077023,              0.0077023,              0.0077023
                     34,                0.70147,                0.64229,                0.58056,                0.91746,                0.86589,                0.84958,                0.88919,                0.72624,                0.77899,                0.77632,                0.73818,                 0.3872,                0.69608,                 0.4516,                0.56479,                0.94021,              0.0075698,              0.0075698,              0.0075698
                     35,                0.69836,                 0.6468,                0.57622,                0.90169,                 0.9277,                0.82895,                0.89593,                0.74376,                0.86737,                0.77632,                0.80568,                0.44726,                0.68527,                0.35636,                0.54675,                0.95079,              0.0074347,              0.0074347,              0.0074347
                     36,                0.69719,                0.63414,                0.57311,                0.90351,                0.87646,                0.84016,                0.88791,                0.74321,                0.82501,                0.76316,                0.77437,                0.41557,                0.61058,                0.35631,                0.54364,                0.93827,              0.0072973,              0.0072973,              0.0072973
                     37,                0.70743,                0.71452,                0.60463,                0.91114,                0.91374,                0.83629,                0.87496,                0.74841,                0.85623,                0.78365,                0.80628,                0.42215,                 0.6535,                0.37106,                0.58462,                0.91013,              0.0071576,              0.0071576,              0.0071576
                     38,                0.66842,                0.61938,                0.54911,                 0.8914,                0.87966,                0.85526,                0.89147,                 0.7487,                0.81132,                0.79215,                0.80129,                0.37334,                 0.6656,                0.44692,                0.51962,                0.91896,              0.0070159,              0.0070159,              0.0070159
                     39,                0.66457,                0.64817,                 0.5463,                0.90396,                0.95585,                0.85466,                0.91196,                0.74851,                0.95408,                0.82015,                0.86881,                0.43059,                0.62994,                0.35501,                0.51613,                0.91629,              0.0068722,              0.0068722,              0.0068722
                     40,                0.69362,                0.64386,                0.55191,                0.89517,                0.96771,                0.78873,                0.87436,                0.71818,                0.89068,                0.75043,                0.82913,                0.43334,                0.73241,                0.38356,                0.62531,                0.98874,              0.0067268,              0.0067268,              0.0067268
